District,Year,Season,Unemployment_Rate,Average_Income,Education_Level,Population_Density,Police_Presence,Crime_Rate
District_18,2018,Winter,5.4,73047.0,16.0,2005.0,Low,18.73
District_18,2017,Winter,4.14,25880.0,16.8,1834.0,Low,33.3
District_17,2023,Spring,4.43,58058.0,13.1,649.0,Low,26.45
District_3,2018,Winter,12.4,68486.0,12.9,4783.0,Low,47.73
District_3,2017,Winter,7.2,70134.0,14.2,2757.0,Low,30.4
District_6,2021,Winter,5.69,54674.0,15.3,2761.0,Low,21.89
District_13,2017,Summer,7.23,21050.0,11.6,4655.0,Low,49.03
District_15,2023,Spring,10.74,78423.0,13.0,1805.0,Low,38.02
District_9,2019,Spring,9.56,48332.0,13.9,1994.0,Low,37.13
District_4,2015,Winter,11.92,43616.0,17.9,3454.0,High,23.5
District_14,2018,Summer,7.07,43697.0,13.9,4033.0,High,36.59
District_5,2019,Winter,8.42,45449.0,10.2,3647.0,High,34.38
District_2,2018,Summer,4.22,34531.0,13.9,4049.0,High,35.62
District_11,2015,Spring,3.88,39640.0,16.2,3088.0,Low,32.17
District_9,2020,Winter,8.55,79121.0,16.6,4383.0,High,31.42
District_3,2017,Spring,6.62,42090.0,16.0,2975.0,High,24.4
District_9,2021,Summer,10.35,51604.0,16.9,1532.0,Low,48.02
District_3,2020,Fall,3.52,70898.0,11.3,2938.0,Low,28.68
District_2,2020,Summer,4.46,51646.0,13.1,3708.0,Low,48.56
District_12,2022,Fall,13.38,39467.0,15.8,3441.0,High,43.02
District_10,2014,Spring,9.8,51425.0,10.6,1594.0,Low,48.63
District_9,2023,Spring,11.54,26845.0,11.7,685.0,High,40.42
District_15,2019,Winter,13.1,27800.0,16.3,1636.0,Low,50.28
District_8,2019,Fall,8.57,61646.0,15.7,4928.0,Low,46.3
District_5,2019,Summer,12.13,75048.0,17.7,1330.0,Low,44.17
District_11,2019,Spring,9.3,63541.0,18.0,2590.0,High,25.73
District_2,2023,Fall,5.67,24477.0,10.4,3373.0,Low,44.46
District_15,2020,Summer,7.05,44174.0,17.0,4458.0,Low,38.05
District_6,2023,Fall,8.88,20153.0,8.9,3921.0,High,44.4
District_8,2019,Summer,6.8,50672.0,15.1,4590.0,High,35.17
District_5,2014,Summer,7.03,31592.0,10.2,3220.0,Low,46.58
District_16,2016,Summer,7.05,72089.0,11.0,4394.0,Low,46.18
District_18,2015,Summer,4.47,26260.0,17.5,1687.0,Low,30.36
District_6,2019,Fall,4.02,20086.0,10.6,2438.0,Low,36.14
District_5,2021,Fall,3.56,47069.0,14.7,4297.0,High,28.12
District_16,2016,Winter,4.33,29326.0,9.8,1965.0,High,22.68
District_13,2023,Fall,7.12,64279.0,8.9,4420.0,Low,55.39
District_5,2021,Fall,10.13,75196.0,11.4,2134.0,Low,45.59
District_13,2021,Winter,5.26,22516.0,14.2,2135.0,High,11.33
District_17,2018,Fall,13.66,43735.0,10.5,1891.0,Low,56.13
District_18,2021,Summer,12.7,79809.0,11.0,2961.0,High,44.47
District_8,2019,Spring,9.25,63960.0,15.1,1081.0,Low,30.76
District_13,2018,Spring,11.69,77191.0,9.0,665.0,High,39.98
District_19,2022,Winter,7.4,29845.0,12.5,4538.0,High,34.43
District_3,2020,Fall,3.44,33282.0,17.4,4680.0,High,25.59
District_8,2021,Fall,13.85,29289.0,12.0,843.0,High,38.38
District_2,2014,Winter,4.53,38142.0,12.3,2974.0,Low,28.78
District_8,2024,Spring,14.38,63463.0,15.4,2929.0,Low,65.45
District_13,2015,Summer,9.86,29897.0,15.8,2176.0,Low,46.73
District_13,2021,Fall,6.67,51454.0,15.7,3060.0,Low,36.34
District_1,2022,Winter,8.95,36153.0,18.0,2562.0,High,30.59
District_6,2017,Summer,9.02,69752.0,8.7,2703.0,Low,49.29
District_19,2023,Winter,3.28,20396.0,17.8,3899.0,Low,23.71
District_16,2024,Winter,7.27,33387.0,17.5,2867.0,High,20.11
District_8,2023,Winter,11.88,56314.0,16.5,1956.0,High,29.33
District_1,2022,Spring,9.12,25803.0,12.5,3117.0,Low,45.06
District_16,2017,Spring,5.93,47979.0,16.7,3383.0,High,29.69
District_9,2023,Winter,7.02,46172.0,10.2,3480.0,High,25.89
District_13,2023,Fall,13.36,71151.0,15.9,3282.0,Low,52.68
District_11,2023,Summer,9.31,57524.0,9.9,3491.0,Low,53.17
District_13,2022,Fall,9.34,58382.0,16.2,1895.0,Low,32.45
District_10,2024,Spring,14.54,77108.0,14.1,2508.0,Low,41.18
District_4,2020,Summer,6.85,78942.0,9.0,3509.0,High,37.98
District_6,2015,Winter,8.75,59204.0,17.0,3895.0,Low,25.66
District_7,2022,Fall,12.74,51320.0,13.8,2454.0,Low,56.56
District_5,2017,Fall,12.11,56475.0,14.6,2144.0,Low,49.3
District_11,2021,Winter,6.19,42947.0,10.8,3721.0,High,36.48
District_13,2020,Fall,4.81,79247.0,16.7,1500.0,Low,20.01
District_19,2020,Spring,11.41,62301.0,13.5,543.0,Low,50.03
District_10,2021,Winter,6.09,37460.0,12.2,2620.0,Low,30.81
District_10,2014,Fall,14.07,23466.0,13.3,1280.0,High,51.8
District_11,2018,Winter,4.55,22683.0,15.0,2202.0,High,19.28
District_7,2015,Summer,6.82,32295.0,15.0,1811.0,High,23.52
District_18,2015,Winter,3.66,33975.0,11.6,3998.0,High,37.43
District_4,2014,Fall,11.44,44903.0,11.9,1991.0,Low,59.08
District_2,2018,Spring,13.7,32891.0,13.6,3383.0,Low,61.82
District_14,2015,Winter,10.63,57855.0,17.2,3533.0,Low,44.9
District_13,2017,Winter,14.25,32675.0,15.5,2554.0,Low,51.31
District_12,2016,Fall,4.54,31273.0,11.9,865.0,High,26.79
District_7,2016,Spring,4.05,48274.0,11.4,3652.0,Low,37.26
District_2,2015,Spring,13.06,73320.0,13.2,838.0,High,29.73
District_13,2019,Summer,13.27,48098.0,16.7,946.0,High,41.58
District_14,2015,Summer,12.97,44831.0,8.1,1382.0,High,49.15
District_17,2021,Fall,12.59,54686.0,15.1,1762.0,Low,51.61
District_9,2021,Spring,7.35,35433.0,10.9,4309.0,Low,43.76
District_17,2018,Spring,5.61,41206.0,10.1,3537.0,High,33.11
District_8,2023,Summer,14.15,32830.0,8.1,2242.0,Low,62.0
District_2,2020,Summer,6.68,54309.0,17.0,4904.0,High,40.16
District_13,2017,Fall,7.78,61843.0,17.1,1596.0,High,16.75
District_3,2014,Spring,11.39,60422.0,8.6,3244.0,Low,57.56
District_16,2024,Winter,6.52,35289.0,13.2,4312.0,High,28.32
District_6,2015,Summer,12.83,66779.0,9.5,4109.0,Low,70.07
District_19,2023,Fall,3.84,35357.0,15.6,906.0,Low,25.67
District_7,2023,Spring,12.49,29019.0,14.7,3638.0,High,51.21
District_10,2017,Spring,10.22,40989.0,11.0,1660.0,High,38.16
District_9,2014,Summer,9.88,55865.0,9.2,2101.0,Low,55.58
District_2,2021,Fall,8.5,28520.0,16.3,2700.0,High,24.8
District_15,2022,Winter,6.32,58885.0,14.7,4058.0,Low,28.19
District_5,2017,Summer,8.57,71784.0,8.1,1248.0,Low,45.51
District_4,2023,Fall,8.4,37588.0,14.3,988.0,Low,45.9
District_20,2016,Spring,10.01,47012.0,16.1,1190.0,Low,41.16
District_4,2015,Winter,6.38,33699.0,13.9,1482.0,Low,19.84
District_18,2018,Fall,3.93,41676.0,12.2,768.0,High,20.82
District_4,2016,Winter,4.74,21318.0,13.8,4669.0,High,21.44
District_17,2023,Fall,11.39,77226.0,14.2,1936.0,Low,39.55
District_12,2020,Fall,3.27,44953.0,14.4,1296.0,High,15.63
District_17,2024,Fall,13.28,67332.0,17.7,3370.0,Low,51.92
District_10,2019,Fall,11.33,28559.0,9.8,4041.0,Low,57.5
District_1,2014,Winter,12.22,68741.0,14.2,3890.0,High,25.94
District_18,2021,Summer,13.03,71609.0,9.9,3734.0,High,52.28
District_18,2015,Winter,4.47,62929.0,10.1,727.0,Low,19.71
District_14,2018,Fall,12.87,74192.0,14.7,4020.0,Low,60.58
District_15,2022,Winter,9.06,30032.0,17.2,2758.0,High,26.46
District_12,2021,Winter,13.63,48589.0,9.6,3421.0,Low,60.34
District_4,2015,Winter,13.64,57207.0,17.6,4804.0,Low,59.88
District_3,2022,Fall,3.29,55772.0,11.2,4148.0,High,20.57
District_20,2018,Winter,7.59,71662.0,11.9,4214.0,High,33.32
District_12,2023,Spring,9.32,32941.0,9.5,1317.0,High,41.43
District_7,2019,Fall,11.14,30539.0,14.2,2644.0,Low,40.95
District_11,2016,Winter,6.43,35203.0,14.0,4772.0,Low,37.22
District_1,2016,Spring,6.03,73493.0,12.4,3122.0,Low,38.51
District_6,2023,Winter,7.58,76462.0,12.8,962.0,High,16.28
District_15,2021,Summer,9.01,54178.0,14.2,3793.0,Low,59.84
District_15,2024,Winter,14.41,50082.0,13.8,693.0,Low,46.72
District_19,2023,Winter,12.15,56323.0,11.7,3840.0,High,31.54
District_11,2023,Summer,8.15,56978.0,16.8,4459.0,High,42.33
District_2,2015,Fall,3.65,30218.0,14.7,2414.0,Low,26.45
District_14,2024,Summer,5.02,61185.0,10.1,2361.0,Low,37.64
District_2,2015,Fall,8.47,47141.0,11.2,1869.0,Low,49.01
District_4,2018,Summer,12.77,51043.0,15.9,4446.0,Low,66.65
District_17,2019,Winter,7.57,21819.0,9.0,2965.0,High,32.69
District_3,2015,Winter,9.46,65873.0,15.5,3107.0,High,20.97
District_13,2018,Fall,13.7,70126.0,11.6,3478.0,High,46.58
District_9,2020,Fall,13.97,57165.0,13.5,1851.0,High,42.81
District_7,2023,Spring,5.59,64923.0,10.8,2448.0,Low,31.94
District_15,2023,Spring,3.52,51362.0,17.9,3837.0,Low,34.43
District_11,2021,Winter,6.66,57101.0,17.1,4935.0,High,20.77
District_20,2020,Winter,11.35,43674.0,17.3,654.0,Low,32.19
District_2,2021,Spring,14.41,67512.0,9.8,692.0,High,40.96
District_15,2022,Spring,3.92,48096.0,16.4,2426.0,High,20.94
District_14,2018,Fall,3.34,60813.0,13.4,3468.0,High,22.55
District_20,2018,Summer,13.61,57286.0,15.1,2239.0,High,48.16
District_11,2024,Fall,11.98,62139.0,10.2,4998.0,High,45.73
District_3,2023,Spring,14.91,67113.0,15.1,1379.0,High,41.39
District_17,2017,Winter,7.76,50763.0,17.1,536.0,Low,26.98
District_12,2022,Spring,7.99,68784.0,10.7,1356.0,High,25.33
District_15,2018,Winter,5.07,49835.0,10.3,4491.0,Low,36.06
District_16,2015,Winter,4.39,77398.0,9.0,1153.0,High,15.38
District_5,2023,Winter,9.94,65160.0,10.7,2655.0,Low,35.38
District_20,2021,Winter,7.37,30268.0,13.4,2387.0,Low,30.75
District_6,2020,Summer,3.96,69775.0,16.3,3496.0,Low,33.0
District_19,2021,Spring,13.64,53095.0,10.8,746.0,Low,55.49
District_5,2016,Fall,5.38,79068.0,14.2,3464.0,Low,17.86
District_3,2017,Winter,11.98,63129.0,12.8,2096.0,High,30.0
District_1,2018,Winter,6.39,25063.0,10.9,4667.0,Low,38.8
District_6,2019,Fall,12.75,43698.0,13.1,4320.0,High,51.98
District_15,2014,Fall,4.42,51037.0,9.7,2298.0,High,25.12
District_2,2017,Winter,12.07,70341.0,14.4,4968.0,High,42.85
District_3,2024,Fall,4.18,63761.0,9.2,734.0,Low,32.17
District_17,2023,Fall,8.36,42162.0,15.3,4049.0,High,35.28
District_12,2018,Summer,11.81,59206.0,9.8,2452.0,Low,53.13
District_18,2020,Fall,5.08,54615.0,18.0,2450.0,High,20.62
District_15,2018,Spring,6.43,27563.0,16.2,1266.0,Low,32.0
District_12,2014,Spring,13.38,34092.0,11.4,2817.0,High,48.32
District_16,2024,Spring,13.62,40467.0,12.3,881.0,Low,46.55
District_8,2020,Winter,3.54,31729.0,10.6,3275.0,Low,31.08
District_14,2021,Spring,5.02,29008.0,15.7,1587.0,Low,28.75
District_17,2020,Summer,4.41,23492.0,11.8,3762.0,Low,44.94
District_8,2024,Spring,5.16,72386.0,15.6,3233.0,Low,12.09
District_15,2017,Winter,14.64,37337.0,8.2,3859.0,Low,61.56
District_14,2021,Summer,9.62,37419.0,9.4,3874.0,Low,55.94
District_18,2018,Spring,8.62,32374.0,11.6,1385.0,Low,45.77
District_20,2023,Summer,14.81,48524.0,9.1,503.0,High,52.53
District_7,2022,Summer,9.68,50855.0,14.0,2146.0,High,31.66
District_3,2023,Winter,10.93,32497.0,8.5,4636.0,High,44.34
District_12,2018,Winter,6.99,56514.0,16.6,3101.0,Low,29.78
District_3,2014,Summer,7.59,63380.0,15.6,3774.0,Low,55.6
District_20,2022,Spring,10.13,42430.0,10.2,4458.0,High,49.18
District_14,2018,Winter,3.84,55127.0,12.8,4577.0,High,12.76
District_15,2019,Summer,6.07,50138.0,12.5,2881.0,Low,53.5
District_14,2017,Fall,5.36,31733.0,15.2,2934.0,High,25.82
District_7,2019,Fall,3.19,63801.0,12.0,4329.0,Low,32.98
District_17,2021,Winter,9.44,68087.0,8.3,4134.0,Low,54.18
District_12,2016,Spring,9.73,58928.0,10.7,3645.0,Low,46.55
District_20,2018,Fall,7.61,39434.0,12.7,3220.0,Low,44.32
District_4,2015,Fall,6.22,75608.0,17.7,3277.0,Low,23.15
District_9,2015,Fall,10.82,47322.0,16.8,2133.0,Low,44.36
District_6,2020,Spring,4.62,35953.0,9.8,4284.0,Low,42.43
District_16,2023,Spring,9.22,44494.0,15.2,3280.0,Low,43.0
District_2,2023,Winter,12.22,61525.0,17.4,1506.0,Low,36.25
District_8,2024,Winter,4.97,70756.0,8.1,1579.0,Low,21.37
District_11,2023,Fall,12.04,41395.0,15.2,4377.0,High,54.13
District_13,2019,Spring,12.13,33957.0,12.6,3316.0,Low,56.68
District_17,2017,Summer,3.72,57590.0,14.8,2294.0,Low,28.89
District_8,2018,Fall,3.23,75273.0,14.1,1342.0,High,4.78
District_18,2014,Winter,14.69,30998.0,17.8,3246.0,Low,51.2
District_18,2020,Spring,5.32,68181.0,10.9,1329.0,High,24.77
District_14,2021,Winter,12.87,48596.0,15.9,2616.0,Low,45.64
District_15,2022,Winter,9.74,67971.0,10.3,3549.0,Low,51.39
District_6,2021,Spring,6.17,50332.0,12.4,3044.0,High,38.7
District_11,2018,Fall,4.56,42640.0,17.8,4649.0,Low,29.8
District_13,2016,Spring,8.96,61804.0,15.7,679.0,Low,26.05
District_1,2023,Fall,7.89,74038.0,11.2,1759.0,Low,33.89
District_6,2024,Winter,11.39,39215.0,14.2,757.0,High,31.19
District_9,2022,Spring,13.85,47645.0,8.5,1376.0,High,49.06
District_8,2019,Summer,12.66,33764.0,10.7,1058.0,Low,64.16
District_11,2018,Fall,6.29,31005.0,15.2,3797.0,High,27.11
District_19,2016,Summer,13.55,66673.0,13.7,2162.0,Low,47.78
District_9,2019,Fall,13.0,32040.0,12.7,4663.0,Low,61.03
District_17,2016,Spring,14.15,67599.0,14.9,605.0,Low,49.07
District_12,2023,Summer,8.5,45753.0,12.0,3438.0,High,43.54
District_14,2019,Spring,12.22,79703.0,8.3,4867.0,High,55.17
District_15,2017,Fall,10.1,31840.0,12.4,1291.0,Low,43.38
District_16,2015,Fall,6.73,25579.0,17.0,2491.0,Low,43.41
District_20,2021,Fall,14.93,24526.0,16.6,3659.0,Low,60.03
District_1,2017,Fall,3.46,70125.0,12.1,3349.0,Low,34.98
District_10,2022,Winter,4.95,46267.0,8.2,3047.0,Low,37.16
District_8,2020,Fall,13.71,20187.0,14.4,1970.0,High,55.68
District_18,2015,Summer,3.73,72486.0,15.4,3777.0,High,17.67
District_1,2017,Fall,13.64,72615.0,10.9,3440.0,High,54.51
District_2,2018,Spring,11.58,68385.0,12.8,1233.0,High,35.86
District_1,2016,Winter,3.44,34899.0,17.9,4838.0,Low,27.26
District_1,2022,Summer,8.15,42365.0,13.8,3001.0,Low,48.6
District_9,2018,Winter,12.05,64696.0,11.5,2865.0,Low,44.15
District_13,2015,Winter,10.0,49361.0,14.3,4317.0,Low,43.46
District_1,2024,Winter,14.23,29230.0,9.8,3382.0,Low,50.49
District_13,2016,Spring,13.41,34568.0,10.0,835.0,Low,56.08
District_20,2022,Winter,6.99,78355.0,17.2,2780.0,Low,24.57
District_7,2020,Winter,4.02,29061.0,10.4,4013.0,Low,31.04
District_2,2015,Fall,14.33,63565.0,11.1,3650.0,High,51.3
District_6,2022,Spring,9.21,48681.0,13.4,4868.0,Low,56.4
District_7,2017,Summer,3.89,64916.0,17.0,612.0,Low,21.76
District_14,2022,Summer,12.8,59667.0,15.8,1675.0,Low,46.56
District_18,2015,Summer,13.42,46350.0,8.4,2971.0,High,53.46
District_15,2023,Spring,10.67,41235.0,14.9,3288.0,High,29.0
District_2,2017,Summer,8.37,65262.0,13.0,1735.0,High,42.25
District_10,2018,Spring,10.95,39388.0,12.8,4221.0,High,41.21
District_12,2015,Fall,11.48,67266.0,14.9,1240.0,Low,48.73
District_17,2023,Fall,13.72,60791.0,10.0,504.0,Low,45.52
District_8,2014,Spring,14.47,54660.0,17.8,4786.0,Low,55.43
District_11,2020,Summer,9.17,42128.0,14.5,2262.0,High,39.26
District_3,2023,Spring,12.58,32305.0,11.7,4809.0,High,56.6
District_6,2014,Spring,14.57,62625.0,14.0,1751.0,Low,51.94
District_9,2024,Winter,4.81,25481.0,10.2,786.0,Low,19.71
District_6,2024,Spring,3.22,78233.0,14.3,3976.0,Low,27.63
District_9,2021,Winter,13.43,78725.0,8.3,4261.0,Low,59.56
District_7,2016,Fall,5.34,27813.0,11.4,2714.0,Low,42.55
District_9,2023,Winter,3.51,26236.0,15.5,832.0,Low,29.94
District_18,2019,Spring,4.92,44763.0,16.1,3444.0,Low,34.7
District_12,2020,Fall,7.61,77821.0,10.5,1320.0,Low,40.85
District_8,2023,Winter,5.63,44019.0,13.4,4322.0,Low,36.67
District_8,2014,Spring,6.66,41828.0,13.3,1733.0,Low,33.13
District_18,2019,Fall,14.7,62215.0,12.2,4315.0,Low,62.85
District_20,2020,Winter,11.45,30724.0,10.3,2421.0,High,43.57
District_15,2019,Spring,11.55,41799.0,15.0,3184.0,Low,49.38
District_7,2017,Spring,4.14,37478.0,10.5,4053.0,High,32.35
District_11,2014,Summer,11.79,56092.0,17.1,682.0,High,32.88
District_20,2024,Summer,11.87,29765.0,13.3,4195.0,Low,69.16
District_16,2022,Winter,10.92,52922.0,16.7,1124.0,Low,33.43
District_4,2017,Winter,5.74,71453.0,10.9,2113.0,Low,30.39
District_6,2020,Winter,8.08,50850.0,16.1,2628.0,High,27.6
District_3,2020,Spring,13.16,61010.0,9.1,4529.0,Low,65.55
District_9,2015,Winter,11.04,24515.0,15.7,601.0,Low,36.16
District_10,2014,Spring,11.79,46940.0,11.9,3016.0,Low,52.81
District_14,2021,Winter,10.05,25694.0,12.7,3391.0,Low,35.21
District_11,2021,Spring,8.4,55968.0,9.7,1925.0,Low,44.84
District_18,2020,Spring,12.11,36863.0,8.2,1807.0,Low,61.22
District_12,2021,Summer,3.82,37236.0,14.7,2707.0,High,21.22
District_12,2016,Fall,11.08,24606.0,13.9,1342.0,High,38.37
District_13,2024,Spring,14.97,38614.0,14.2,2607.0,High,48.33
District_13,2015,Winter,12.36,50401.0,10.6,3943.0,Low,53.94
District_19,2020,Summer,6.49,55080.0,10.4,4304.0,High,41.21
District_19,2021,Winter,6.33,24000.0,16.3,2233.0,Low,25.07
District_14,2014,Winter,11.01,59088.0,15.6,3278.0,High,37.93
District_4,2023,Spring,13.75,49333.0,11.4,500.0,High,32.77
District_13,2022,Spring,9.94,52214.0,14.4,2977.0,High,32.53
District_8,2024,Fall,9.33,69968.0,16.3,4889.0,Low,39.55
District_19,2017,Spring,4.92,40534.0,16.9,1905.0,Low,30.84
District_12,2017,Spring,11.59,30443.0,8.1,3176.0,High,52.19
District_18,2016,Fall,11.43,53109.0,16.1,3930.0,High,40.68
District_6,2019,Winter,14.6,76701.0,11.5,3240.0,Low,44.16
District_18,2014,Fall,6.6,51072.0,15.2,2383.0,Low,31.15
District_19,2019,Fall,12.08,69915.0,11.7,1187.0,Low,51.01
District_5,2015,Fall,8.21,65422.0,14.1,2587.0,Low,39.01
District_9,2022,Summer,9.7,51100.0,14.5,1827.0,Low,45.33
District_3,2015,Winter,12.8,58853.0,12.0,3632.0,Low,45.53
District_10,2020,Summer,5.66,44401.0,13.1,2489.0,High,31.24
District_19,2014,Summer,7.11,51838.0,15.3,4324.0,Low,50.57
District_3,2020,Spring,12.28,50437.0,12.8,1370.0,Low,47.26
District_15,2018,Fall,9.85,62547.0,8.1,2380.0,High,41.4
District_1,2021,Fall,4.11,44599.0,8.1,3009.0,High,21.67
District_7,2017,Summer,8.16,25986.0,14.6,1067.0,Low,50.77
District_12,2023,Spring,10.04,67323.0,16.5,3146.0,High,31.78
District_17,2020,Spring,13.91,61091.0,15.9,1809.0,Low,44.29
District_20,2019,Spring,5.26,77007.0,11.1,1533.0,Low,31.3
District_5,2018,Winter,12.67,45723.0,12.7,1139.0,High,33.43
District_4,2017,Summer,4.57,24692.0,10.3,2074.0,High,27.98
District_12,2020,Winter,5.91,27297.0,17.9,4680.0,Low,33.21
District_20,2018,Spring,5.92,66399.0,10.6,640.0,High,17.57
District_18,2018,Spring,13.53,24065.0,12.2,4335.0,High,48.72
District_17,2014,Spring,5.39,74470.0,14.8,2288.0,High,16.25
District_19,2015,Fall,12.44,36899.0,16.8,3027.0,Low,47.67
District_9,2018,Summer,8.54,73933.0,8.5,2808.0,Low,44.06
District_4,2016,Fall,14.99,66410.0,11.0,4666.0,Low,67.98
District_2,2015,Winter,13.07,72272.0,13.7,3966.0,High,38.57
District_4,2017,Fall,11.88,32842.0,14.2,4932.0,Low,59.09
District_2,2017,Summer,13.45,55742.0,8.7,4075.0,High,47.58
District_15,2017,Fall,10.61,25615.0,14.6,1831.0,Low,48.17
District_2,2017,Spring,13.12,32137.0,13.3,4833.0,High,57.01
District_4,2016,Winter,6.13,38594.0,16.3,4926.0,Low,41.1
District_6,2020,Winter,4.17,64449.0,10.2,1054.0,Low,25.79
District_7,2022,Spring,10.39,21483.0,10.0,4555.0,High,44.52
District_10,2018,Spring,8.22,74187.0,15.9,3489.0,Low,34.06
District_19,2017,Spring,8.12,24248.0,15.0,4649.0,High,38.73
District_19,2024,Summer,9.32,42589.0,15.9,4621.0,High,44.48
District_12,2015,Fall,7.34,24865.0,15.8,4511.0,Low,47.48
District_3,2015,Winter,10.51,66138.0,9.0,4484.0,High,43.37
District_13,2018,Fall,3.37,28479.0,10.8,1029.0,High,22.42
District_18,2020,Spring,14.64,73085.0,10.6,1146.0,Low,58.54
District_8,2023,Spring,14.1,51813.0,17.3,1030.0,High,33.34
District_15,2023,Fall,14.22,76908.0,12.9,910.0,Low,46.93
District_1,2022,Winter,7.38,37422.0,9.1,2090.0,High,24.87
District_3,2020,Summer,9.38,47259.0,10.9,3578.0,High,45.92
District_8,2018,Fall,14.45,61655.0,16.7,2096.0,Low,44.66
District_4,2023,Spring,13.83,69915.0,16.5,3741.0,High,52.44
District_16,2023,Spring,12.48,45281.0,17.0,4191.0,Low,54.47
District_10,2023,Summer,7.89,73546.0,11.9,3498.0,High,31.58
District_12,2019,Fall,9.77,27079.0,14.4,2593.0,High,33.3
District_14,2024,Summer,12.51,62521.0,10.8,1830.0,High,47.02
District_14,2016,Summer,6.28,40892.0,9.8,1060.0,High,35.89
District_2,2018,Winter,10.52,26080.0,8.2,2721.0,Low,54.03
District_5,2021,Winter,12.94,43200.0,10.2,3738.0,High,44.07
District_5,2014,Spring,11.49,72813.0,14.0,2967.0,Low,49.71
District_6,2014,Fall,8.75,78832.0,17.0,3747.0,High,30.96
District_13,2020,Winter,10.02,43568.0,9.3,2008.0,High,31.67
District_9,2018,Spring,14.86,73185.0,17.2,801.0,High,33.7
District_15,2018,Fall,10.22,50579.0,11.5,3970.0,Low,53.56
District_14,2014,Spring,12.43,63021.0,12.3,1489.0,High,37.23
District_7,2022,Winter,11.72,22722.0,11.6,3273.0,High,41.03
District_20,2014,Spring,11.42,53439.0,12.1,4119.0,Low,57.05
District_2,2018,Fall,11.6,24210.0,10.6,1126.0,High,51.25
District_7,2023,Fall,8.45,36117.0,15.0,3193.0,High,30.29
District_6,2022,Spring,8.69,54009.0,15.6,3602.0,High,33.32
District_17,2017,Fall,8.61,68430.0,16.2,3859.0,High,33.38
District_2,2021,Spring,3.4,53654.0,11.4,1164.0,Low,24.67
District_3,2019,Fall,5.89,76171.0,15.6,4213.0,High,30.7
District_5,2024,Spring,4.85,68620.0,14.4,924.0,Low,21.81
District_5,2016,Spring,13.64,29374.0,17.6,2838.0,Low,58.0
District_1,2017,Spring,6.3,43338.0,12.2,2495.0,Low,44.78
District_8,2015,Summer,4.66,60109.0,17.9,1498.0,High,21.2
District_12,2014,Fall,4.44,76304.0,15.4,1859.0,Low,23.94
District_4,2021,Winter,11.4,79263.0,15.8,1240.0,High,23.97
District_13,2014,Spring,3.07,65791.0,8.3,2416.0,Low,28.82
District_15,2024,Summer,8.66,54426.0,13.0,660.0,Low,38.94
District_11,2014,Winter,4.43,65397.0,13.3,4500.0,High,20.3
District_10,2017,Spring,13.2,36394.0,8.4,1236.0,Low,60.58
District_3,2023,Winter,14.5,37016.0,11.1,4487.0,Low,60.52
District_14,2023,Summer,14.51,59261.0,17.6,4386.0,High,55.77
District_16,2019,Winter,8.3,72310.0,12.3,2533.0,High,33.78
District_10,2022,Spring,10.73,78189.0,9.9,2740.0,High,43.56
District_10,2014,Winter,10.2,40480.0,13.1,1859.0,High,26.04
District_12,2020,Winter,7.2,67793.0,8.3,4986.0,High,32.38
District_9,2023,Spring,8.33,71092.0,13.2,3518.0,Low,43.06
District_1,2024,Summer,3.77,57390.0,13.9,4783.0,High,27.03
District_5,2018,Summer,12.55,40856.0,11.6,2367.0,High,53.84
District_20,2021,Winter,5.89,57145.0,15.6,4474.0,Low,27.17
District_8,2020,Fall,8.53,55067.0,9.4,2517.0,Low,49.61
District_11,2017,Winter,8.77,56392.0,16.8,4401.0,Low,46.55
District_12,2017,Fall,9.73,57156.0,17.6,1089.0,Low,35.83
District_1,2019,Winter,12.81,70823.0,8.0,3366.0,Low,52.68
District_20,2019,Summer,11.3,30205.0,16.4,3554.0,High,49.42
District_11,2022,Winter,10.96,42038.0,13.1,3453.0,Low,40.71
District_5,2018,Winter,9.32,55160.0,12.6,2512.0,Low,33.27
District_15,2021,Fall,4.15,37000.0,10.4,3578.0,Low,41.97
District_5,2018,Summer,7.82,78689.0,12.5,1578.0,High,30.67
District_12,2015,Fall,14.49,35789.0,17.5,3181.0,Low,57.22
District_5,2019,Winter,14.95,48178.0,10.1,2994.0,Low,60.67
District_17,2022,Spring,11.77,72642.0,9.8,1933.0,High,40.86
District_17,2016,Winter,5.73,24804.0,10.4,4005.0,Low,50.22
District_12,2014,Winter,4.22,69241.0,13.5,864.0,High,2.0
District_15,2014,Fall,7.98,54261.0,17.3,1271.0,Low,31.31
District_15,2016,Spring,13.28,21908.0,13.7,2620.0,Low,65.3
District_6,2023,Spring,11.66,74175.0,10.4,4513.0,High,53.57
District_12,2018,Fall,13.61,22352.0,12.4,3088.0,Low,58.23
District_20,2016,Summer,10.39,50913.0,11.9,4289.0,Low,57.35
District_18,2022,Spring,4.56,22942.0,8.5,2829.0,High,31.1
District_14,2021,Spring,4.38,24272.0,13.1,4035.0,High,37.34
District_2,2016,Fall,3.58,73232.0,9.3,1966.0,Low,28.92
District_9,2022,Summer,9.8,65950.0,16.4,4168.0,Low,49.85
District_5,2019,Summer,5.91,31816.0,13.5,2308.0,Low,42.13
District_20,2020,Winter,11.81,57228.0,16.4,3015.0,Low,41.09
District_1,2017,Winter,11.23,67681.0,17.6,1291.0,Low,32.97
District_3,2017,Fall,6.82,73375.0,17.4,4642.0,Low,46.92
